"customdata","ids","labels","parents","colors"
"Article on: https://solclover.com","Apriori","Apriori","Association","rgb(141,211,199)"
" ","Dimensionality Reduction","Dimensionality<br>Reduction","Unsupervised","#a3e897"
"Article on: https://solclover.com","Uniform Manifold Approximation and Projection (UMAP)","Uniform Manifold<br>Approximation and<br>Projection (UMAP)","Dimensionality Reduction","#a3e897"
"Article on: https://solclover.com","Principal Component Analysis (PCA)","Principal Component<br>Analysis (PCA)","Dimensionality Reduction","#a3e897"
"Article on: https://solclover.com","Multidimensional Scaling (MDS)","Multidimensional<br>Scaling (MDS)","Dimensionality Reduction","#a3e897"
"Article on: https://solclover.com","Isomap Embedding","Isomap Embedding","Dimensionality Reduction","#a3e897"
"Article on: https://solclover.com","t-Distributed Stochastic Neighbor Embedding (t-SNE)","t-Distributed<br>Stochastic Neighbor<br>Embedding (t-SNE)","Dimensionality Reduction","#a3e897"
"Article on: https://solclover.com","Locally Linear Embedding (LLE)","Locally Linear<br>Embedding (LLE)","Dimensionality Reduction","#a3e897"
" ","Neural Networks","Neural Networks","Machine Learning","#ffe600"
" ","Feed Forward Neural Networks","Feed Forward Neural<br>Networks","Neural Networks","#faf693"
"Article on: https://solclover.com","Feed Forward (FF)","Feed Forward (FF)","Feed Forward Neural Networks","#faf693"
"Article on: https://solclover.com","Deep Feed Forward (DFF)","Deep Feed Forward<br>(DFF)","Feed Forward Neural Networks","#faf693"
" ","Recurrent Neural Networks","Recurrent Neural<br>Networks","Neural Networks","#ffd857"
"Article on: https://solclover.com","Recurrent Neural Network (RNN)","Recurrent Neural<br>Network (RNN)","Recurrent Neural Networks","#ffd857"
"Coming Soon","Long Short Term Memory (LSTM)","Long Short Term<br>Memory (LSTM)","Recurrent Neural Networks","#ffd857"
"Coming Soon","Gated Reccurent Unit (GRU)","Gated Reccurent Unit<br>(GRU)","Recurrent Neural Networks","#ffd857"
" ","Convolutional Neural Networks","Convolutional Neural<br>Networks","Neural Networks","#fff16b"
"Coming Soon","Deep Convolutional Network (DCN)","Deep Convolutional<br>Network (DCN)","Convolutional Neural Networks","#fff16b"
"Coming Soon","Deconvolutional Network (DN)","Deconvolutional<br>Network (DN)","Convolutional Neural Networks","#fff16b"
"Coming Soon","Deep Convolutional Inverse Graphics Network (DCIGN)","Deep Convolutional<br>Inverse Graphics<br>Network (DCIGN)","Convolutional Neural Networks","#fff16b"
" ","Auto Encoders","Auto Encoders","Neural Networks","#ffb300"
"Coming Soon","Auto Encoder (AE)","Auto Encoder (AE)","Auto Encoders","#ffb300"
"Coming Soon","Variational Auto Encoder (VAE)","Variational Auto<br>Encoder (VAE)","Auto Encoders","#ffb300"
"Coming Soon","Denoising Auto Encoder (DAE)","Denoising Auto<br>Encoder (DAE)","Auto Encoders","#ffb300"
"Coming Soon","Sparse Auto Encoder (SAE)","Sparse Auto Encoder<br>(SAE)","Auto Encoders","#ffb300"
" ","Generative Adversarial Networks","Generative<br>Adversarial Networks","Neural Networks","#fcffc2"
"Coming Soon","Generative Adversarial Network (GAN)","Generative<br>Adversarial Network<br>(GAN)","Generative Adversarial Networks","#fcffc2"
" ","Semi-Supervised","Semi-Supervised","Machine Learning","#ff5ac3"
"Article on: https://solclover.com","Self Training Classifier","Self Training<br>Classifier","Semi-Supervised","#ff5ac3"
"Article on: https://solclover.com","Label Spreading","Label Spreading","Semi-Supervised","#ff5ac3"
"Article on: https://solclover.com","Label Propagation","Label Propagation","Semi-Supervised","#ff5ac3"
" ","Reinforcement","Reinforcement","Machine Learning","#45abff"
"Coming Soon","Monte Carlo Methods","Monte Carlo Methods","Reinforcement","#45abff"
"Coming Soon","Temporal-Difference (TD)","Temporal-Difference<br>(TD)","Reinforcement","#45abff"
"Coming Soon","Policy Gradient","Policy Gradient","Reinforcement","#45abff"
"Coming Soon","Proximal Policy Optimization (PPO)","Proximal Policy<br>Optimization (PPO)","Reinforcement","#45abff"
"Coming Soon","SARSA (State-Action-Reward-State-Action)","SARSA (State-Action-<br>Reward-State-Action)","Reinforcement","#45abff"
"Coming Soon","Q-Learning","Q-Learning","Reinforcement","#45abff"
"Coming Soon","Deep Q Neural Network (DQN)","Deep Q Neural<br>Network (DQN)","Reinforcement","#45abff"
" ","Others","Others","Machine Learning","#AB63FA"
" ","Probabilistic Graphical Models","Probabilistic<br>Graphical Models","Others","#AB63FA"
"Article on: https://solclover.com","Bayesian Belief Networks","Bayesian Belief<br>Networks (BBN)","Probabilistic Graphical Models","#AB63FA"
